Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;White Maize;-;-;Busia Market;60.00/Kg;75.00/Kg;360;Busia;2022-08-11
Dry Maize;Yellow Maize;-;-;Aram;55.74/Kg;60.38/Kg;1800;Siaya;2022-08-11
Dry Maize;White Maize;-;-;Aram;55.38/Kg;59.99/Kg;6300;Siaya;2022-08-11
Dry Maize;Mixed-Traditional ;-;-;Aram;55.58/Kg;60.21/Kg;5400;Siaya;2022-08-11
Dry Maize;White Maize;-;-;Eldama Ravine;66.67/Kg;80.00/Kg;540;Baringo;2022-08-11
Dry Maize;White Maize;-;-;Tseikuru;62.22/Kg;65.00/Kg;35000;Kitui;2022-08-11
Dry Maize;Yellow Maize;-;-;Ndhiwa;50.00/Kg;55.00/Kg;1000;Homa-bay;2022-08-11
Dry Maize;White Maize;-;-;Ndhiwa;50.00/Kg;55.00/Kg;5000;Homa-bay;2022-08-11
Dry Maize;White Maize;-;-;Eldoret Main;65.00/Kg;75.00/Kg;5400;Uasin-Gishu;2022-08-11
Dry Maize;White Maize;-;-;Kiritiri;65.00/Kg;75.00/Kg;4600;Embu;2022-08-11
Dry Maize;Mixed-Traditional ;-;-;Kiritiri;65.00/Kg;75.00/Kg;5200;Embu;2022-08-11
Dry Maize;White Maize;-;-;Mbita;52.22/Kg;70.00/Kg;10000;Homa-bay;2022-08-11
Dry Maize;White Maize;-;-;Mabera;52.00/Kg;60.00/Kg;3000;Migori;2022-08-11
Dry Maize;Mixed-Traditional ;-;-;Mwatate;66.67/Kg;70.00/Kg;;Taita-Taveta;2022-08-10
Dry Maize;White Maize;-;-;Kabati - Muranga;90.00/Kg;100.00/Kg;;Muranga;2022-08-10
Dry Maize;White Maize;-;-;Mwingi Town;61.11/Kg;70.00/Kg;9000;Kitui;2022-08-10
Dry Maize;White Maize;-;-;Eldoret Main;65.00/Kg;75.00/Kg;2700;Uasin-Gishu;2022-08-10
Dry Maize;Mixed-Traditional ;-;-;Mpeketoni;60.00/Kg;70.00/Kg;2500;Lamu;2022-08-10
Dry Maize;White Maize;-;-;Siaya; - ;68.18/Kg;;Siaya;2022-08-10
Dry Maize;Mixed-Traditional ;-;-;Siaya; - ;68.18/Kg;;Siaya;2022-08-10
Dry Maize;White Maize;-;-;Akala;60.00/Kg;75.00/Kg;3000;Siaya;2022-08-10
Dry Maize;White Maize;-;-;Embu Town;61.11/Kg;80.00/Kg;5000;Embu;2022-08-10
Dry Maize;White Maize;-;-;Embu Town;61.11/Kg;80.00/Kg;6000;Embu;2022-08-10
Dry Maize;Yellow Maize;-;-;Kibuye;64.44/Kg; - ;;Kisumu;2022-08-09
Dry Maize;White Maize;-;-;Kibuye;66.67/Kg;90.00/Kg;;Kisumu;2022-08-09
Dry Maize;Yellow Maize;-;-;Awendo;38.89/Kg;23.36/Kg;;Migori;2022-08-08
Dry Maize;White Maize;-;-;Awendo;60.00/Kg;56.07/Kg;;Migori;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Awendo;60.00/Kg;56.07/Kg;;Migori;2022-08-08
Dry Maize;White Maize;-;-;Kaare;66.67/Kg;65.00/Kg;2700;Tharaka-Nithi;2022-08-08
Dry Maize;White Maize;-;-;Ngurubani Market;70.00/Kg;80.00/Kg;5000;Kirinyaga;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Marindi;44.44/Kg;54.17/Kg;4320;Migori;2022-08-08
Dry Maize;White Maize;-;-;Kitale Municipality Market;57.78/Kg;61.11/Kg;450;Trans-Nzoia;2022-08-08
Dry Maize;White Maize;-;-;Chebunyo;58.89/Kg;71.11/Kg;54000;Bomet;2022-08-08
Dry Maize;Yellow Maize;-;-;Aram;55.74/Kg;60.38/Kg;1800;Siaya;2022-08-08
Dry Maize;White Maize;-;-;Aram;55.38/Kg;59.99/Kg;5400;Siaya;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Aram;55.58/Kg;60.21/Kg;3600;Siaya;2022-08-08
Dry Maize;White Maize;-;-;Rongo;53.33/Kg;51.34/Kg;9000;Migori;2022-08-08
Dry Maize;White Maize;-;-;Rongo;53.33/Kg;51.34/Kg;9000;Migori;2022-08-08
Dry Maize;White Maize;-;-;Rongo;53.33/Kg;51.34/Kg;9000;Migori;2022-08-08
Dry Maize;White Maize;-;-;Rongo;53.33/Kg;51.34/Kg;9000;Migori;2022-08-08
Dry Maize;White Maize;-;-;Rongo;53.33/Kg;51.34/Kg;9000;Migori;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Mois Bridge;55.56/Kg;70.00/Kg;9000;Uasin-Gishu;2022-08-08
Dry Maize;White Maize;-;-;Gakindu;64.44/Kg;72.73/Kg;2200;Nyeri;2022-08-08
Dry Maize;White Maize;-;-;Kutus;66.67/Kg;96.39/Kg;0;Kirinyaga;2022-08-08
Dry Maize;White Maize;-;-;Cheptiret - Uasin Gishu;75.00/Kg;90.00/Kg;3000;Uasin-Gishu;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Othaya;64.44/Kg;80.00/Kg;9000;Nyeri;2022-08-08
Dry Maize;White Maize;-;-;Chepsonoi Market;68.89/Kg;80.00/Kg;25600;Nandi;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Nginyang;65.56/Kg;100.00/Kg;3600;Baringo;2022-08-08
Dry Maize;White Maize;-;-;Marigat;70.00/Kg;75.00/Kg;14000;Baringo;2022-08-08
Dry Maize;White Maize;-;-;Eldoret Main;65.00/Kg;75.00/Kg;9000;Uasin-Gishu;2022-08-08
Dry Maize;White Maize;-;-;Kangemi Market;65.56/Kg; - ;;Nairobi;2022-08-08
Dry Maize;White Maize;-;-;Kiritiri;65.00/Kg;75.00/Kg;4600;Embu;2022-08-08
Dry Maize;Mixed-Traditional ;-;-;Kiritiri;65.00/Kg;75.00/Kg;4600;Embu;2022-08-08
Dry Maize;White Maize;-;-;Soko mpya;66.67/Kg;62.50/Kg;800;Nyandarua;2022-08-08
Dry Maize;White Maize;-;-;Kabarnet;40.00/Kg;100.00/Kg;15030;Baringo;2022-08-08
Dry Maize;White Maize;-;-;Kibiok;90.00/Kg;100.00/Kg;20000;Nandi;2022-08-07
Dry Maize;White Maize;-;-;Kasuku;62.22/Kg;75.00/Kg;90;Nyandarua;2022-08-07
Dry Maize;Mixed-Traditional ;-;-;Mogunga;60.42/Kg;62.50/Kg;18000;Kisii;2022-08-07
Dry Maize;White Maize;-;-;Kitale Municipality Market;66.67/Kg;77.78/Kg;10000;Trans-Nzoia;2022-08-07
Dry Maize;Mixed-Traditional ;-;-;Daraja Mbili;42.22/Kg;52.00/Kg;2500;Kisii;2022-08-06
Dry Maize;Yellow Maize;-;-;Daraja Mbili;60.00/Kg;60.00/Kg;480;Kisii;2022-08-06
Dry Maize;White Maize;-;-;Daraja Mbili;53.33/Kg;60.00/Kg;6500;Kisii;2022-08-06
Dry Maize;White Maize;-;-;Mbale;66.67/Kg;83.33/Kg;20000;Vihiga;2022-08-06
Dry Maize;Mixed-Traditional ;-;-;Lomut;66.67/Kg;80.00/Kg;20000;West-Pokot;2022-08-06
Dry Maize;White Maize;-;-;Athi River Open air Market;7.22/Kg;85.00/Kg;900;Machakos;2022-08-06
Dry Maize;White Maize;-;-;Athi River Open air Market;7.22/Kg;85.00/Kg;900;Machakos;2022-08-06
Dry Maize;Mixed-Traditional ;-;-;Samburu;77.78/Kg;40.00/Kg;6000;Kwale;2022-08-06
Dry Maize;Mixed-Traditional ;-;-;Mpeketoni;60.00/Kg;70.00/Kg;2800;Lamu;2022-08-06
Dry Maize;White Maize;-;-;Kitengela;57.78/Kg;70.00/Kg;18000;Kajiado;2022-08-06
