Commodity;Classification;Grade;Sex;Market;Wholesale;Retail;Supply Volume;County;Date
Dry Maize;-;-;-;Kongowea;15.56/Kg; - ;;Mombasa;2005-02-07
Dry Maize;-;-;-;Nakuru Wakulima;16.67/Kg; - ;;Nakuru;2005-02-07
Dry Maize;-;-;-;Nairobi Wakulima;17.78/Kg; - ;;Nairobi;2005-02-07
Dry Maize;-;-;-;Bondo;16.00/Kg; - ;;Siaya;2005-02-04
Dry Maize;-;-;-;Taveta;15.56/Kg; - ;;Taita-Taveta;2005-02-04
Dry Maize;-;-;-;Nairobi Wakulima;17.78/Kg; - ;;Nairobi;2005-02-04
Dry Maize;-;-;-;Nakuru Wakulima;16.67/Kg; - ;;Nakuru;2005-02-04
Dry Maize;-;-;-;Kongowea;15.56/Kg; - ;;Mombasa;2005-02-04
Dry Maize;-;-;-;Kongowea;15.56/Kg; - ;;Mombasa;2005-02-03
Dry Maize;-;-;-;Nakuru Wakulima;16.67/Kg; - ;;Nakuru;2005-02-03
Dry Maize;-;-;-;Nairobi Wakulima;17.78/Kg; - ;;Nairobi;2005-02-03
Dry Maize;-;-;-;Bondo;16.00/Kg; - ;;Siaya;2005-02-03
Dry Maize;-;-;-;Taveta;15.56/Kg; - ;;Taita-Taveta;2005-02-02
Dry Maize;-;-;-;Kongowea;15.56/Kg; - ;;Mombasa;2005-02-02
Dry Maize;-;-;-;Bondo;16.00/Kg; - ;;Siaya;2005-02-02
Dry Maize;-;-;-;Nairobi Wakulima;17.78/Kg; - ;;Nairobi;2005-02-02
Dry Maize;-;-;-;Kibuye;16.89/Kg; - ;;Kisumu;2005-02-01
Dry Maize;-;-;-;Wath Ong'er;13.33/Kg; - ;;Migori;2005-02-01
Dry Maize;-;-;-;Karatina;15.56/Kg; - ;;Nyeri;2005-02-01
Dry Maize;-;-;-;Nakuru Wakulima;20.00/Kg; - ;;Nakuru;2005-02-01
Dry Maize;-;-;-;Kongowea;15.56/Kg; - ;;Mombasa;2005-02-01
Dry Maize;-;-;-;Busia Market;30.00/Kg; - ;;Busia;2009-09-07
Dry Maize;-;-;-;Nakuru Wakulima;26.67/Kg; - ;;Nakuru;2009-09-07
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-09-07
Dry Maize;-;-;-;Nyahururu Municipal Market;28.89/Kg; - ;;Laikipia;2009-09-04
Dry Maize;-;-;-;Nakuru Wakulima;26.67/Kg; - ;;Nakuru;2009-09-04
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-09-04
Dry Maize;-;-;-;Eldoret Main;32.22/Kg; - ;;Uasin-Gishu;2009-09-04
Dry Maize;-;-;-;Kongowea;22.78/Kg; - ;;Mombasa;2009-09-04
Dry Maize;-;-;-;Daraja Mbili;28.89/Kg; - ;;Kisii;2009-09-03
Dry Maize;-;-;-;Nakuru Wakulima;26.67/Kg; - ;;Nakuru;2009-09-03
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-09-03
Dry Maize;-;-;-;Embu Town;26.67/Kg; - ;;Embu;2009-09-03
Dry Maize;-;-;-;Eldoret Main;32.00/Kg; - ;;Uasin-Gishu;2009-09-03
Dry Maize;-;-;-;Kongowea;23.89/Kg; - ;;Mombasa;2009-09-03
Dry Maize;-;-;-;Kakamega Town;22.22/Kg; - ;;Kakamega;2009-09-03
Dry Maize;-;-;-;Eldoret Main;32.00/Kg; - ;;Uasin-Gishu;2009-09-02
Dry Maize;-;-;-;Kongowea;23.89/Kg; - ;;Mombasa;2009-09-02
Dry Maize;-;-;-;Taveta;22.22/Kg; - ;;Taita-Taveta;2009-09-02
Dry Maize;-;-;-;Nakuru Wakulima;26.67/Kg; - ;;Nakuru;2009-09-02
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-09-02
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-09-01
Dry Maize;-;-;-;Nakuru Wakulima;25.56/Kg; - ;;Nakuru;2009-09-01
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-09-01
Dry Maize;-;-;-;Busia Market;27.78/Kg; - ;;Busia;2009-09-01
Dry Maize;-;-;-;Eldoret Main;31.56/Kg; - ;;Uasin-Gishu;2009-09-01
Dry Maize;-;-;-;Kongowea;22.78/Kg; - ;;Mombasa;2009-09-01
Dry Maize;-;-;-;Daraja Mbili;28.89/Kg; - ;;Kisii;2009-09-01
Dry Maize;-;-;-;Kongowea;22.78/Kg; - ;;Mombasa;2009-09-01
Dry Maize;-;-;-;Nyahururu Municipal Market;28.89/Kg; - ;;Laikipia;2009-09-01
Dry Maize;-;-;-;Nakuru Wakulima;25.56/Kg; - ;;Nakuru;2009-09-01
Dry Maize;-;-;-;Nakuru Wakulima;25.56/Kg; - ;;Nakuru;2009-08-31
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-08-31
Dry Maize;-;-;-;Daraja Mbili;28.89/Kg; - ;;Kisii;2009-08-31
Dry Maize;-;-;-;Kongowea;22.78/Kg; - ;;Mombasa;2009-08-31
Dry Maize;-;-;-;Nyahururu Municipal Market;28.89/Kg; - ;;Laikipia;2009-08-28
Dry Maize;-;-;-;Eldoret Main;31.56/Kg; - ;;Uasin-Gishu;2009-08-28
Dry Maize;-;-;-;Kongowea;22.78/Kg; - ;;Mombasa;2009-08-28
Dry Maize;-;-;-;Chwele;33.33/Kg; - ;;Bungoma;2009-08-28
Dry Maize;-;-;-;Kibuye;28.89/Kg; - ;;Kisumu;2009-08-28
Dry Maize;-;-;-;Nakuru Wakulima;25.56/Kg; - ;;Nakuru;2009-08-28
Dry Maize;-;-;-;Nairobi Wakulima;30.00/Kg; - ;;Nairobi;2009-08-28
Dry Maize;-;-;-;Embu Town;26.67/Kg; - ;;Embu;2009-08-27
